TIMESTAMP;DEPTH;ID;URL;DOMAIN;PRODUCT;DATASET_TOTAL;DOMAIN_COUNTRY;IP_COUNTRY;ROOT_DOMAIN
2019-01-04 16:40:20.775648;DEPTH0;URL25960;http://data-wshd.opendata.arcgis.com;https://data-wshd.opendata.arcgis.com/;ARCGIS;49;(not available);United States;data-wshd.opendata.arcgis.com
2019-01-04 16:40:27.244254;DEPTH0;URL25962;http://data-yorkcountypa.opendata.arcgis.com;http://data-yorkcountypa.opendata.arcgis.com;ARCGIS;48;(not available);United States;data-yorkcountypa.opendata.arcgis.com
2019-01-04 17:15:20.798871;DEPTH0;URL131927;http://daten.aachen.de;http://daten.aachen.de;CKAN;76;Germany;Germany;daten.aachen.de
2019-01-04 17:35:49.445033;DEPTH0;URL163684;http://daten.buergernetz.bz.it;http://daten.buergernetz.bz.it/de/;CKAN;463;Italy;Italy;daten.buergernetz.bz.it
2019-01-04 17:35:27.039528;DEPTH0;URL163477;http://dati.adbarno.it;http://dati.adbarno.it;CKAN;50;Italy;Italy;dati.adbarno.it
2019-01-04 17:35:31.711236;DEPTH0;URL163501;http://dati.alsia.it;http://dati.alsia.it;CKAN;10;Italy;Italy;dati.alsia.it
2019-01-04 17:35:34.664307;DEPTH0;URL163539;https://dati.arpae.it;https://dati.arpae.it;CKAN;24;Italy;Italy;dati.arpae.it
2019-01-04 17:35:47.335749;DEPTH0;URL163674;http://dati.comune.francavillafontana.br.it;http://dati.comune.francavillafontana.br.it;CKAN;126;Italy;Italy;dati.comune.francavillafontana.br.it
2019-01-04 17:36:19.787709;DEPTH0;URL164839;http://dati.comune.galatone.le.it;http://dati.comune.galatone.le.it;CKAN;38;Italy;Italy;dati.comune.galatone.le.it
2019-01-04 17:36:21.553304;DEPTH0;URL164840;http://dati.comune.lecce.it;http://dati.comune.lecce.it;CKAN;502;Italy;Italy;dati.comune.lecce.it
2019-01-04 17:36:27.318745;DEPTH0;URL164904;http://dati.comune.matera.it;http://dati.comune.matera.it;CKAN;219;Italy;Italy;dati.comune.matera.it
2019-01-04 17:36:32.177954;DEPTH0;URL164955;http://dati.comune.milano.it;http://dati.comune.milano.it;CKAN;433;Italy;Italy;dati.comune.milano.it
2019-01-04 17:36:47.380566;DEPTH0;URL165277;http://dati.comune.rimini.it;http://dati.comune.rimini.it;CKAN;49;Italy;Italy;dati.comune.rimini.it
2019-01-04 17:57:40.291558;DEPTH2;URL474907;http://dati.comune.roma.it/catalog/en;https://dati.comune.roma.it/od/it/home.page;CKAN;354;Italy;Italy;dati.comune.roma.it
2019-01-04 17:35:42.492118;DEPTH0;URL163593;http://dati.comune.terlizzi.ba.it;https://dati.comune.terlizzi.ba.it/;CKAN;47;Italy;Italy;dati.comune.terlizzi.ba.it
2019-01-04 17:35:59.804025;DEPTH0;URL163772;http://dati.consip.it;http://dati.consip.it;CKAN;16;Italy;Italy;dati.consip.it
2019-01-04 17:36:08.131873;DEPTH0;URL164462;http://dati.emilia-romagna.it;http://dati.emilia-romagna.it;CKAN;1263;Italy;Italy;dati.emilia-romagna.it
2019-01-04 17:36:10.209877;DEPTH0;URL164518;http://dati.formez.it;http://dati.formez.it;CKAN;8;Italy;Italy;dati.formez.it
2019-01-04 17:36:12.741108;DEPTH0;URL164531;http://www.dati.friuliveneziagiulia.it;https://www.dati.friuliveneziagiulia.it/;SOCRATA;176;Italy;Ireland;dati.friuliveneziagiulia.it
2019-01-04 17:36:59.427044;DEPTH0;URL165514;http://dati.lamma.toscana.it;http://dati.lamma.toscana.it;CKAN;136;Italy;Italy;dati.lamma.toscana.it
2019-01-04 17:57:48.681857;DEPTH2;URL549267;http://dati.lazio.it/catalog/en;http://dati.lazio.it/catalog/en;CKAN;371;Italy;Italy;dati.lazio.it
2019-01-04 17:36:25.349991;DEPTH0;URL164868;http://www.dati.lombardia.it;https://www.dati.lombardia.it/;SOCRATA;2825;Italy;Ireland;dati.lombardia.it
2019-01-04 17:36:29.318662;DEPTH0;URL164905;http://dati.matera-basilicata2019.it;http://dati.matera-basilicata2019.it;CKAN;5;Italy;Germany;dati.matera-basilicata2019.it
2019-01-04 17:56:03.935401;DEPTH1;URL744895;http://dati.mit.gov.it/catalog;http://dati.mit.gov.it/catalog/;CKAN;43;Italy;Italy;dati.mit.gov.it
2019-01-04 17:35:37.023479;DEPTH0;URL163566;http://dati.provincia.asti.it;http://dati.provincia.asti.it;CKAN;243;Italy;Italy;dati.provincia.asti.it
2019-01-04 17:36:37.146522;DEPTH0;URL165133;http://dati.provincia.pistoia.it;http://dati.provincia.pistoia.it;CKAN;9;Italy;Italy;dati.provincia.pistoia.it
2019-01-04 17:54:42.453748;DEPTH1;URL546589;http://dati.regione.basilicata.it/catalog;http://dati.regione.basilicata.it/catalog/;CKAN;191;Italy;Italy;dati.regione.basilicata.it
2019-01-04 17:36:51.317933;DEPTH0;URL165312;http://dati.regione.sardegna.it;http://dati.regione.sardegna.it;CKAN;635;Italy;Italy;dati.regione.sardegna.it
2019-01-04 17:36:54.270946;DEPTH0;URL165347;https://dati.regione.sicilia.it;https://dati.regione.sicilia.it;CKAN;41;Italy;Italy;dati.regione.sicilia.it
2019-01-04 17:35:53.148050;DEPTH0;URL163689;http://dati.retecivica.bz.it;http://dati.retecivica.bz.it/de/;CKAN;463;Italy;Italy;dati.retecivica.bz.it
2019-01-04 17:36:56.755162;DEPTH0;URL165513;http://dati.toscana.it;http://dati.toscana.it;CKAN;3361;Italy;Italy;dati.toscana.it
2019-01-04 17:37:02.723713;DEPTH0;URL165524;http://dati.trentino.it;https://dati.trentino.it/;CKAN;6693;Italy;Italy;dati.trentino.it
2019-01-04 17:37:08.364265;DEPTH0;URL165550;http://dati.umbria.it;http://dati.umbria.it;CKAN;363;Italy;Italy;dati.umbria.it
2019-01-04 17:37:11.536029;DEPTH0;URL165554;https://dati.unibo.it;https://dati.unibo.it;CKAN;18;Italy;Italy;dati.unibo.it
2019-01-04 17:36:34.584105;DEPTH0;URL164967;http://dati.ustat.miur.it;http://dati.ustat.miur.it;CKAN;44;Italy;Italy;dati.ustat.miur.it
2019-01-04 16:09:41.931293;DEPTH0;URL547;https://datos.agroindustria.gob.ar;https://datos.agroindustria.gob.ar;CKAN;99;Argentina;Argentina;datos.agroindustria.gob.ar
2019-01-04 16:09:44.181154;DEPTH0;URL550;https://datos.anac.gob.ar;https://datos.anac.gob.ar;CKAN;6;Argentina;Argentina;datos.anac.gob.ar
2019-01-04 16:10:42.163645;DEPTH0;URL605;http://datos.concejorosario.gov.ar;http://datos.concejorosario.gov.ar;CKAN;87;Argentina;Argentina;datos.concejorosario.gov.ar
